County,Route,Facility,Location,MP,Bridge ID#,Gross (tons),KY Type 1 (tons),KY Type 2 (tons),KY Type 3 (tons),KY Type 4 (tons),SU5 (tons),SU6 (tons),SU7 (tons)
Adair,KY-76,KY-76,1.1 MI N OF S-JCT KY 206,4.671,001B00011N,,20,27,31,31,31,31,31
Adair,KY-55,KY-55,.10 MI WEST OF JCT KY 92,6.355,001B00014N,,23,24,27,44,29,30,32
Adair,KY-80,KY-80,1.6 MI EAST OF JCT KY 768,4.985,001B00023N,,36,38,43,44,,,
Adair,KY-900,KY-900,.25 MI  SOU.OF JCT KY 55,5.05,001B00027N,,24,37,,,,,
Adair,KY-704,KY-704,2.7 MI N OF CUMBERLAND CL,2.509,001B00028N,,30,32,36,44,39,40,43
Adair,KY-1323,KY-1323,.3 MI NE OF JCT KY 206,0.41,001B00032N,,31,32,36,44,39,39,42
Adair,KY-531,KY-531,2.0 MI SOU. OF JCT KY 206,3.319,001B00033N,,27,28,31,44,34,34,36
Adair,KY-551,KY-551,.50 MI NOR. OF JCT KY 901,0.863,001B00035N,,30,33,35,39,39,40,44
Adair,KY-551,KY-551,.70 MI NOR. OF JCT KY 901,1.103,001B00036N,17,,,,,,,
Adair,KY-551,KY-551,1.3 MI EAST OF 084 C.L.,1.832,001B00037N,17,,,,,,,
Adair,KY-92,KY-92,.40 MI WEST OF JCT KY 768,3.551,001B00043N,22,,,,,,,
Adair,KY-92,KY-92,.60 MI EAST OF JCT KY 768,4.702,001B00044N,,34,36,41,44,,,
Adair,KY-55,KY-55X,.10 MI NOR. OF JCT KY 206,1.988,001B00052N,,37,38,42,44,,,
Adair,KY-1742,KY-1742,.40 MI  NOR OF JCT KY 551,0.471,001B00072N,,40,41,44,44,,,
Adair,KY-767,KY-767,1.9 MI.N. JCT  KY 439,1.828,001B00074N,,32,34,36,44,38,39,41
Adair,CR-1106,ARNOLDS LANDING RD,.05 MI E OF JCT CR 5067,1.881,001C00007N,18,,,,,,,
Adair,CR-1162,WIDS ROAD,100' NE OF JCT CR 5156,0.029,001C00011N,0,,,,,,,
Adair,CR-1182,CHARLIE MORRISON,2.35 MI S OF KY 1952,2.25,001C00013N,23,,,,,,,
Adair,CR-1318,LEATHERWOOD CHURCH,.15 MI SE OF JCT KY 80,2.472,001C00017N,29,,,,,,,
Adair,CR-1031,DUNNVILLE RD,1.75 MI E OF JCT KY 2289,1.673,001C00024N,18,,,,,,,
Adair,CR-1031,DUNNVILLE RD,1 MI E OF JCT KY 2289,0.932,001C00025N,18,,,,,,,
Adair,CR-1031,DUNNVILLE RD,.5 MI E OF JCT KY 2289,0.526,001C00026N,18,,,,,,,
Adair,CR-1667,ROLLIN COOMER RD,.5 MI FROM CR 1175,0.018,001C00035N,3,,,,,,,
Adair,CR-1016,SULPHUR CREEK RD,1 MI. S-JCT. KY 206,3.75,001C00036N,18,,,,,,,
Adair,CR-1001,TAYLOR FORD RD,0.9 MI SE OF JCT KY 206,2.556,001C00037N,18,,,,,,,
Adair,CR-1291,CORBIN RD,.25 MI. S.E. OF JCT.KY 61,0.297,001C00039N,11,,,,,,,
Adair,CR-1008,ALLEN SCHOOLHOUSE,150' E OF JCT KY 531,5.754,001C00040N,5,,,,,,,
Adair,CR-1302,GREENBRIAR RD,.7 MI S OF JCT KY 533,0.607,001C00041N,18,,,,,,,
Adair,CR-1290,HUGHES RD,0.35 MI SE KY 61,0.548,001C00044N,34,,,,,,,
Adair,CR-1722,ROLEY YUMA RD,1.2 MI W. JCT KY 1742,0.95,001C00045N,39,,,,,,,
Adair,CR-1059,ABRELL RD,.4 MI SE CR 5016,0.363,001C00047N,8,,,,,,,
Adair,CR-1318,LEATHERWOOD CHURCH,1.3 MI SW  KY  768,1.301,001C00049N,18,,,,,,,
Adair,CR-1336,OLD GRADYVILLE RD,.5   MI- S JCT  KY  768,2.419,001C00050N,9,,,,,,,
Adair,CR-1351,TARTER RD,250' EAST  JCT    CR 5320,0.062,001C00051N,24,,,,,,,
Adair,CR-1336,OLD GRADYVILLE RD,.9 MI N JCT KY 80,0.863,001C00052N,33,,,,,,,
Adair,CR-1156,WHITE OAK CHURCH R,.5 MI E. JCT KY 6183,1.51,001C00053N,8,,,,,,,
Adair,CR-1421,BULL RUN LN,.5 MI- E JCT KY 1323,1.772,001C00054N,15,,,,,,,
Adair,CR-1359,NELSON WALKUP RD,200'EAST JCT HUGHES RD,0.522,001C00055N,7,,,,,,,
Adair,CR-1422,DWIGHT CURRY RD,136'  E. OF JCT KY 1323,0.027,001C00056N,13,,,,,,,
Adair,CR-1156,White Oak Ch. Road,2.93 MI EA OF JCT. 6183,2.912,001C00058N,12,,,,,,,
Adair,CR-1185,MELSON RIDGE RD.,270' SE. OF JCT KY 704,1.386,001C00060N,10,,,,,,,
Adair,CR-1445,C R JONES RD,0.192 MI. SW. KY 633,0.2,001C00061N,7,,,,,,,
Adair,CR-1158,ACREE RD,1.14 MI. NE JCT KY 92,0.674,001C00062N,14,,,,,,,
Adair,CR-1055,PELLYTON EAST RD,0.7 MI. WEST JCT KY-206,0.622,001C00063N,17,,,,,,,
Adair,CR-1156,WHITE OAK CHURCH,2.24 MI.E. OF JT KY  6183,2.802,001C00064N,18,,,,,,,
Adair,CR-1013,CHRISTINE- SANO RD,40 FT NW. OF JCT CR 5032,1.354,001C00067N,29,,,,,,,
Adair,CR-1035,DAMRONS CK  ROAD,2.3 MI. SE JCT CR 5031,2.428,001C00068N,32,,,,,,,
Adair,CR-1717,SPOUT SPRINGS RD,290 FT NE. OF JCT KY 76,0.065,001C00069N,26,,,,,,,
Adair,CR-1145,CREEK BEND RD,0.840 MI. E. OF JCT KY 55,0.864,001C00075N,34,,,,,,,
Adair,CR-1019,PURDY-SANO RD,0.8 MI. S. OF JCT KY 206,0.807,001C00077N,31,,,,,,,
Adair,CR-1318,Leatherwood Ch. Rd,1.0 M SW of KY 768,0.931,001C00080N,28,,,,,,,
Adair,CR-1180,Walnut Grove Rd,1.1M S OF KY 704,1.169,001C00081N,30,,,,,,,
Adair,CR-1995,Old KY-61,1.5 Mi N of Jct KY 768,2.295,001C00082N,29,,,,,,,
Adair,CR-1995,Old KY-61,0.8 MI N Jct Ky-768,1.532,001C00083N,31,,,,,,,
Adair,CR-1157,Old Montpelier Rd,0.2 Mi NE of KY-92,0.164,001C00084N,21,,,,,,,
Allen,KY-101,KY-101,.75 MI N OF JCT KY 1332,2.212,002B00001N,,36,38,44,44,,,
Allen,KY-100,KY-100,1.0 MI EAST OF JCT KY 671,22.382,002B00008N,,34,34,36,42,37,37,38
Allen,KY-100,KY-100,1.4 MI EAST OF JCT KY 99,25.073,002B00009N,,34,35,36,41,37,37,38
Allen,KY-921,KY-921,.40 MI NOR. OF JCT KY 98,0.474,002B00019N,,27,28,29,35,30,30,31
Allen,KY-921,KY-921,ON BARREN - ALLEN CL,0.589,002B00020N,,27,28,29,35,30,30,31
Allen,KY-98,KY-98,.10 MI WEST OF JCT KY 671,8.728,002B00024N,,31,32,33,40,35,35,36
Allen,KY-1332,KY-1332,2.6 MI E OF JCT US 231,8.409,002B00026N,,28,29,33,44,36,36,38
Allen,KY-1333,KY-1333,1.0 MI S OF JCT KY 99,2.136,002B00030N,,33,34,36,44,38,39,40
Allen,KY-1533,KY-1533,1.0 MI S OF JCT KY 252,4.666,002B00032N,,37,39,44,44,,,
Allen,KY-1855,KY-1855,2.4 MI NOR. OF JCT KY 98,2.682,002B00034N,,33,34,35,41,36,36,37
Allen,KY-1332,KY-1332,3.9 MI N OF JCT KY 101,12.161,002B00035N,,34,35,39,44,42,42,44
Allen,KY-2160,KY-2160,1 MI N OF JCT CR 5206,5.033,002B00045N,,28,29,33,44,36,37,39
Allen,KY-2160,KY-2160,2 MI N of CR 5152,4.055,002B00046N,,31,32,36,44,40,40,42
Allen,KY-482,KY-482,1.5 MI SW OF JCT KY 100,1.537,002B00050N,,33,33,34,39,35,35,36
Allen,KY-2160,Ky-2160,1 MI S OF JCT CR 5155,0.646,002B00057N,,34,35,37,44,39,40,41
Allen,CR-1043,JEFFERSON SCHOOL R,2.6 MI E OF JCT KY 101,2.909,002C00003N,19,,,,,,,
Allen,CR-1043,JEFFERSON SCHOOL R,0.7 MI E OF JCT KY 101,4.814,002C00004N,3,,,,,,,
Allen,CR-1157,FOREST SPRING RD,.9 MI S OF JCT CR 5160,0.747,002C00011N,18,,,,,,,
Allen,CR-1239,OLD BUCK CREEK RD,3.7 MI E OF JCT KY 100,2.187,002C00019N,3,,,,,,,
Allen,CR-1256,NEW BUCK CREEK RD,1 MI SOUTH OF JCT KY 100,0.862,002C00024N,18,,,,,,,
Allen,CR-1335,HALIFAX BAILEY RD,2.8 MI N OF JCT KY 1332,2.831,002C00028N,18,,,,,,,
Allen,CR-1220,PETROLEUM RD,0.2 MI. E JCT US 31E,0.211,002C00033N,0,,,,,,,
Allen,CR-1042,GAINESVILLE-PORT O,2.3 MI S JCT KY 1533,0.654,002C00043N,35,,,,,,,
Allen,CR-1226,STAFFORD HOLLOW RD,1.6  MI- E JCT  KY 482,1.459,002C00045N,23,,,,,,,
Allen,CR-1158,SNAKE CREEK RD,.8 MI S  UNION CHAPEL RD,0.991,002C00058N,18,,,,,,,
Allen,CR-1727,CLARE RD,.3 M South of KY 585,4.34,002C00065N,18,,,,,,,
Allen,CR-1372,W Old State Rd,1.4 MI W of Jct US 231,1.388,002C00068N,38,,,,,,,
Allen,CR-1227,Osburn Rd,1.0 Mi W of Ky 482,1.032,002C00070N,18,,,,,,,
Anderson,US-62,US-62,@WOODFORD CO.LN.,22.822,003B00003N,,20,27,34,40,39,39,40
Anderson,BG-9002,BG PARKWAY,WBL @WOODFORD CO.LN.,61.895,003B00007L,,31,34,39,44,42,43,44
Anderson,BG-9002,BG-9002,EBL @WOODFORD CO.LN.,61.896,003B00007R,,31,34,39,44,42,43,44
Anderson,US-127,US 127 BYPASS NC,.5 MI S JCT KY 151,6.229,003B00010L,,35,37,39,44,,,
Anderson,US-62,US-62,.3 MI W OF JCT KY 513,14.095,003B00012N,,20,27,34,40,40,40,40
Anderson,CR-1213,CAREY MILL ROAD,.2 MI S OF JCT KY 1291,2.275,003B00022N,,28,30,33,44,35,36,38
Anderson,CR-1212,SEA  RIDGE ROAD,.1 MI S OF JCT KY 1291,0.085,003B00024N,,31,32,34,42,36,36,37
Anderson,KY-44,KY-44,.10 MI WEST OF JCT KY 53-,3.749,003B00027N,,35,37,42,44,,,
Anderson,KY-44,KY-44,.95 MI WEST OF JCT KY 53-,2.977,003B00028N,,36,38,43,44,,,
Anderson,KY-1291,KY-1291,.80 MI SOU. OF JCT US 62,4.441,003B00034N,,28,30,33,44,37,37,39
Anderson,CR-1114,JOHNSON ROAD,1 MI S OF JCT KY 513,1.058,003B00037N,,30,31,33,44,35,35,36
Anderson,KY-1510,KY-1510,1.3 MI S OF JCT US 62,0.451,003B00039N,,20,22,23,29,24,24,25
Anderson,KY-395,KY-395,.50 MI N OF JCT KY 44,0.459,003B00041N,3,,,,,,,
Anderson,KY-2920,KY-2920,10 FT S -JCT. US 62,0.008,003B00042N,,31,32,36,44,39,40,42
Anderson,KY-749,KY-749,2.4 MI WEST OF JCT KY 513,5.714,003B00048N,22,,,,,,,
Anderson,KY-749,KY-749,1.3 MI WEST OF JCT KY 513,6.826,003B00050N,22,,,,,,,
Anderson,KY-512,KY-512,4.8 MI. N JCT KY 44,2.354,003B00058N,,33,37,43,44,,,
Anderson,US-127,US-127,.5 MI S OF N-JCT US 127B,8.53,003B00061R,,27,28,34,44,35,35,37
Anderson,CR-1302,TIMBER CREEK RD,.9 MI N OF JCT KY 44,0.595,003C00023N,26,,,,,,,
Anderson,CR-1235,E BURGIN ROAD,.4 MI N OF ASHBY RD.,1.835,003C00040N,20,,,,,,,
Anderson,CR-1226,DUNCAN ROAD,100' W OF KY 53,0.034,003C00042N,21,,,,,,,
Anderson,CR-1315,CRAWFORD ROAD,.4 MI N OF AVENSTOKE,0.395,003C00043N,27,,,,,,,
Anderson,CR-1236,AARON BARNETT ROAD,1.3 MI W OF JCT US 62,1.397,003C00047N,18,,,,,,,
Anderson,CR-1305,HYATT ROAD,150ft s of Crooked cr rd,1.093,003C00050N,9,,,,,,,
Anderson,CR-1041,OTIS FRANKLIN ROAD,100'  WEST OF JCT KY 1875,0.013,003C00063N,32,,,,,,,
Anderson,CR-1314,Pigeon Fork Road,.23 MI E of JCT KY-1472,2.853,003C00064N,35,,,,,,,
Ballard,US-60,US-60,1.8 MI E OF JCT KY 358,12.554,004B00012N,,20,27,34,40,40,40,40
Ballard,US-62,US-62,.20 MI WEST OF MCCRACKN C,1.552,004B00015N,,33,34,38,44,41,41,43
Ballard,KY-1563,KY-1563,.50 MI NOR. OF JCT KY 473,0.475,004B00017N,,25,25,28,41,30,31,32
Ballard,KY-1837,KY-1837,.25 MI W. OF MCCRACKEN CL,8.347,004B00018N,,32,33,35,44,37,38,39
Ballard,US-51,US-51,4.0 MI WEST OF JCT US51&6,7.948,004B00021N,,20,27,34,40,40,40,40
Ballard,KY-358,KY-358,.80 MI NOR. OF JCT US 60,8.959,004B00022N,,25,27,31,44,33,34,36
Ballard,KY-358,KY-358,1.25 MI NOR. OF JCT US 60,9.343,004B00023N,,27,28,32,44,35,35,38
Ballard,KY-121,KY-121,3.3 MI EAST OF JCT US51&6,5.359,004B00026N,,35,37,43,44,,,
Ballard,KY-121,KY-121,5.3 MI E OF JCT US51 & 62,3.256,004B00027N,,32,34,39,44,41,42,44
Ballard,KY-121,KY-121,.20 MI NOR. OF CARLISLE C,0.075,004B00028N,,35,37,43,44,,,
Ballard,KY-473,KY-473,.40 MI N.W. OF JCT KY 110,23.768,004B00032N,,33,35,40,44,43,44,44
Ballard,KY-473,KY-473,.70 MI N.W. OF JCT KY 358,15.433,004B00033N,,29,30,33,44,37,37,39
Ballard,KY-473,KY-473,.90 MI N.W. OF JCT KY 358,15.277,004B00034N,9,,,,,,,
Ballard,KY-802,KY-802,1.8 MI SOU. OF JCT KY 286,2.614,004B00035N,,31,31,33,41,35,35,36
Ballard,KY-1105,KY-1105,3.0 MI NOR. OF JCT US 60,3.003,004B00039N,,34,35,40,44,43,44,44
Ballard,KY-1105,KY-1105,1.7 MI SOU. OF JCT KY 310,4.893,004B00040N,,34,35,39,44,43,44,44
Ballard,KY-1290,KY-1290,.40 MI NOR. OF JCT KY 136,8.636,004B00047N,,26,27,31,44,34,34,36
Ballard,KY-1837,KY-1837,1.8 MI WEST OF JCT US 62,3.846,004B00050N,,34,36,41,44,,,
Ballard,KY-1837,KY-1837,4.3 MI WEST OF JCT US 62,6.402,004B00051N,,34,36,41,44,,,
Ballard,KY-1290,KY-1290,.15 MI NOR. OF JCT KY 121,0.166,004B00052N,,23,26,30,44,32,34,38
Ballard,KY-1290,KY-1290,3.0 MI NOR. OF JCT KY 121,3.085,004B00054N,22,,,,,,,
Ballard,KY-358,KY-358,.50 MI NOR JCT KY 473,14.055,004B00068N,,26,28,31,44,34,34,37
Ballard,CR-1116,FRAIZER ROAD,1.7 MI. N. OF JCT. KY1837,1.649,004C00018N,12,,,,,,,
Ballard,CR-1125,STAHL ROAD,.7 MI NW OF JCT KY 286,1.277,004C00023N,11,,,,,,,
Ballard,CR-1213,BETHLEHEM CHURCH R,.75 MI E OF JCT KY 121,1.049,004C00032N,13,,,,,,,
Ballard,CR-1308,SMOKEY ROAD,.1 MI SE OF JCT KY 1105,1.969,004C00045N,21,,,,,,,
Ballard,CR-1232,HOLLOWAY LANDING R,.05 MI E OF JCT CR 5228,2.233,004C00051N,21,,,,,,,
Ballard,CR-1222,GUM CORNER ROAD,2.4 MI SW OF U.S. 60,2.466,004C00057N,16,,,,,,,
Ballard,CR-1213,BETHLEHEM CHURCH R,1.0 MI E OF JCT KY 121,1.431,004C00058N,16,,,,,,,
Ballard,CR-1138,ROBEY ROAD,0.4 MI.EAST OF JCT KY 473,0.397,004C00062N,16,,,,,,,
Ballard,CR-1101,ALBERT HOOK ROAD,1.5 MI E OF JCT KY 802,1.491,004C00064N,12,,,,,,,
Ballard,CR-1003,SHELBY ROAD,.1 MI S OF TERRILL-SHELBY,1.142,004C00065N,16,,,,,,,
Ballard,CR-1120,DEERFIELD ROAD,.7 MI W OF JCT KY 802,0.435,004C00066N,0,,,,,,,
Ballard,CR-1213,BETHLEHEM CHURCH R,1.4 MI W OF HERCHEL JONES,3.718,004C00067N,18,,,,,,,
Ballard,CR-1039,PACE LANE,0.6 MI N. US 60,0.617,004C00070N,22,,,,,,,
Ballard,CR-1131,STEWART ROAD,.4 MI E  JCT KY 1290,0.439,004C00075N,37,,,,,,,
Ballard,CR-1329,GOOSE HAVEN LANE,.6   MI NW JCT 1105,0.351,004C00076N,18,,,,,,,
Ballard,CR-1309,PALMORE ROAD,1.1  MI- N JCT  KY 1105,1.082,004C00078N,7,,,,,,,
Barren,US-31,U.S. 31E,1.1 MI NOR. OF JCT US31EB,17.131,005B00001N,,36,37,41,44,,,
Barren,KY-314,KY-314,.10 MI E. OF JCT KY 70,0.185,005B00002N,,36,38,42,44,,,
Barren,KY-314,KY-314,1.5 MI E. OF JCT KY 70,1.665,005B00003N,,37,39,44,44,,,
Barren,KY-90,KY-90,.7 MI W OF JCT KY 1330,16.233,005B00007N,,37,38,41,44,,,
Barren,KY-2257,KY-90,1.2 MI EAST OF JCT KY 839,0.673,005B00009N,,36,39,44,44,,,
Barren,KY-90,KY-90,1.5 MI W OF METCALFE CL,20.562,005B00010N,,32,36,41,44,,,
Barren,KY-90,KY-90,1.1 MI W OF METCALFE CL,20.886,005B00011N,,38,43,44,44,,,
Barren,KY-90,KY-90,.3 MI W OF METCALFE CL,21.715,005B00012N,,35,37,42,44,,,
Barren,KY-63,KY-63,5.56 MI N.KY 1324,11.183,005B00014N,,34,36,40,44,,,
Barren,KY-63,KY-63,4.5 MI S. OF CMBRL PW O,8.516,005B00016N,,36,38,41,44,,,
Barren,KY-249,KY-249,1.5 MI SOU. OF CMBRL PW O,13.286,005B00019N,,38,39,44,44,,,
Barren,US-31,US-31E,.9 MI N OF JCT KY 1318,4.924,005B00026N,,20,27,34,40,,,
Barren,KY-252,KY-252,2.3 MI E OF JCT KY 255,7.057,005B00030N,,26,27,28,32,32,33,33
Barren,US-68,US-68,2.0 MI EAST OF JCT KY 685,7.928,005B00031N,,35,37,40,44,,,
Barren,KY-740,KY-740,1.9 MI NOR. OF JCT US 68,2.101,005B00040N,,37,38,42,44,,,
Barren,KY-740,KY-740,1.8 MI EAST OF JCT KY 70,9.376,005B00046N,,33,34,36,44,38,39,40
Barren,KY-571,KY-571,1.4 MI N. OF JCT KY 740,1.537,005B00047N,,28,29,34,44,36,37,39
Barren,KY-1324,KY-1324,4.0 MI S OF JCT KY 63,2.698,005B00055N,,29,30,33,44,37,37,39
Barren,US-31,WEST MAIN STREET,.2 MI N OF MAIN ST-KY 90,1.584,005B00058N,15,,,,,,,
Barren,KY-1307,KY-1307,.60 MI SOU. OF JCT US 68,7.987,005B00060N,,33,34,40,44,42,43,44
Barren,KY-90,KY-90,1.2 MI EAST OF JCT US 68,11.16,005B00063N,,38,41,44,44,,,
Barren,LN-9008,LOUIE B NUNN-CUMBE,WBL 2.3 MI E OF KY 685 OP,8.195,005B00068L,,,45,47,56,,,
Barren,LN-9008,LN-9008,EBL 2.3 MI E OF KY 685 OP,8.188,005B00068R,,,45,47,56,,,
Barren,KY-255,KY-255,.9 MI N OF JCT US 68,7.364,005B00078N,,28,29,31,40,33,33,34
Barren,KY-1307,KY 1307,1.3 MI S OF JCT US 68,7.155,005B00086N,,24,25,27,36,29,29,30
Barren,KY-3179,KY-3179,1.9 MI. S-JCT. KY 1318,3.55,005B00089N,,20,21,23,34,25,26,27
Barren,KY-3179,KY-3179,2.3 MI. NORTH -JCT. KY 87,2.253,005B00090N,,38,39,40,44,42,42,43
Barren,CR-1243,MATTHEWS MILL RD,1.8 MI S OF JCT US 31E,1.771,005C00018N,24,,,,,,,
Barren,CR-1284,BRADSHAW RD,2.0 MI S OF JCT KY 87,1.73,005C00021N,22,,,,,,,
Barren,CR-1312,BERRY STORE RD,2.3 MI W OF JCT KY 252,2.315,005C00022N,27,,,,,,,
Barren,CR-1331,SIDDENS RD,0.5 MI N OF JCT KY 252,2.855,005C00023N,30,,,,,,,
Barren,CR-1019,SLICK ROCK RD,1 MI S JCT US 68-KY80,1.053,005C00037N,34,,,,,,,
Barren,CR-1236,Oil Well Road,1.6 MI SOUTH JCT US 31E,4.354,005C00044N,18,,,,,,,
Barren,CR-1101,WILLIE GROCE RD,.3  MI SOUTH JCT KY 249,0.31,005C00048N,38,,,,,,,
Barren,CR-1211,D B SMITH RD,.001 MI E. JCT  KY 63,0.011,005C00050N,34,,,,,,,
Barren,CS-1270,TROJAN TRAIL,.15  MI-E JCT  US 31E,1.202,005C00053N,32,,,,,,,
Barren,CR-1164,WHITES CHAPEL ROAD,1.8 MI S JCT KY 90,1.793,005C00057N,18,,,,,,,
Barren,CR-1174,CR 1174(SMITH CEME,.3 MILES EAST OF JCT 249,0.315,005C00059N,3,,,,,,,
Barren,CR-1474,GREEN VALLEY RD.,1.6 MI E. OF CUMBERLD P,1.062,005C00060N,34,,,,,,,
Barren,CR-1116,Glover Rd,1.2 Mi S of Ky 90,1.163,005C00062N,17,,,,,,,
Bath,KY-36,KY-36,2.6 MI W OF JCT KY 1325,4.327,006B00006N,,22,25,29,44,32,34,38
Bath,US-60,US-60,.10 MI WEST OF JCT KY 965,11.224,006B00010N,,20,27,34,40,,,
Bath,US-60,US-60,1.1 MI W OF W-JCT KY 211,14.298,006B00011N,,20,27,34,40,40,40,40
Bath,US-60,US-60,.1 MI W OF W-JCT KY 211,15.349,006B00012N,,36,41,44,44,,,
Bath,US-60,US-60,.05 MI E OF W-JCT KY 211,15.563,006B00013N,,36,41,44,44,,,
Bath,KY-36,KY-36,OVR I-64 NTRCH,13.296,006B00017N,,31,33,35,44,36,37,38
Bath,KY-36,KY-36,2.6 MI NW OF JCT KY 211,20.709,006B00019N,,20,27,34,40,40,40,40
Bath,KY-111,KY-111,1.7 MI NE OF JCT US 60,1.888,006B00028N,,37,38,41,44,,,
Bath,KY-111,KY-111,.2 MI SW OF JCT KY 1944,6.045,006B00029N,,34,35,39,44,42,42,44
Bath,KY-965,KY-965,1.2 MI SOU. OF JCT KY 36,6.929,006B00037N,,29,30,33,44,37,37,39
Bath,CR-1219,NORTH STEPSTONE RD,3.3 MI SW OF JCT US 60,3.651,006B00049N,,40,42,44,44,,,
Bath,CR-1100,FEARING RD,.2 MI S OF JCT KY 1629,1.628,006B00051N,,38,39,42,44,,,
Bath,KY-965,KY-965,.05 MI SOU. OF JCT US 60,10.466,006B00060N,,26,33,35,41,40,43,44
Bath,KY-1944,KY-1944,2.2 MI. E. JCT KY 36,2.253,006B00079N,,21,21,22,26,23,23,23
Bath,KY-1269,KY 1269,5 MI. E. of jct. US-60,5.022,006B00089N,,29,30,33,44,36,37,38
Bath,CR-1016,EAST TUNNEL HL RD,.05 MI W OF JCT KY 36,0.026,006C00001N,18,,,,,,,
Bath,CR-1117,CLEAR CRK RD,.2 MI E OF JCT KY 211,0.274,006C00002N,29,,,,,,,
Bath,CR-1204,SATTERFIELD RD,0.8 MI.E.- KY 965,0.699,006C00020N,9,,,,,,,
Bath,CR-1304,PECK PIKE,.24  MI-NE JCT KY 1198,0.255,006C00030N,19,,,,,,,
Bath,CR-1042,Anderson Rd.,667' S. of KY 111,0.139,006C00037N,34,,,,,,,
Bell,KY-3085,KY-3085,.10 MI N.W. OF JCT KY 92,0.73,007B00001N,,32,33,36,44,39,39,40
Bell,KY-66,KY-66,2.0 MI N OF JCT KY 2133,6.783,007B00007N,,32,34,39,44,41,42,44
Bell,KY-221,KY-221,.05 MI W OF JCT KY 2011,9.243,007B00010N,,32,33,39,44,41,42,44
Bell,KY-221,KY-221,1.3 MI E OF JCT KY 2011,10.53,007B00011N,,25,36,44,44,,,
Bell,KY-221,KY-221,ON HARLAN - BELL CL,12.628,007B00012N,,28,35,44,44,,,
Bell,KY-221,KY-221,.05 MI W OF JCT KY 1630,4.173,007B00013N,,37,38,43,44,,,
Bell,KY-2133,KY-2133,.05 MI N.W. OF JCT KY 66,0.801,007B00016N,,30,31,36,44,39,39,42
Bell,KY-188,KY-188,.10 MI WEST OF JCT KY 988,2.806,007B00020N,,23,24,28,44,29,30,32
Bell,KY-74,KY-74,ON TENNESSEE STATE LINE,0,007B00031N,22,,,,,,,
Bell,KY-190,KY-190,.50 MI SW OF JCT KY 1491,19.437,007B00037N,,32,34,38,44,41,42,44
Bell,KY-92,KY-92,1.7 MI N.E. OF JCT KY 225,5.371,007B00039N,,24,31,42,44,,,
Bell,KY-987,KY-987,.40 MI WEST OF JCT KY 217,12.82,007B00046N,,28,29,33,44,36,36,39
Bell,KY-987,KY-987,2.3 MI EAST OF JCT KY 217,15.681,007B00048N,,27,38,44,44,,,
Bell,KY-1534,KY-1534,1.8 MI SW OF JCT KY 1344,4.108,007B00051N,,25,27,31,44,34,35,39
Bell,KY-1344,KY-1344,2.0 MI S.E. OF JCT US 119,3.746,007B00060N,,25,32,37,44,43,44,44
Bell,KY-217,KY-217,.25 MI S.E. OF JCT KY 988,0.208,007B00062N,,27,27,30,37,31,31,32
Bell,KY-217,KY-217,1.2 MI S.E. OF JCT KY 988,1.227,007B00063N,,30,31,32,40,34,34,35
Bell,KY-217,KY-217,.05 MI SOU. OF JCT KY 987,8.777,007B00064N,,25,26,30,44,32,33,36
Bell,KY-535,KY-535,.10 MI EAST OF JCT KY 74,0.063,007B00065N,22,,,,,,,
Bell,KY-2011,KY-2011,3.8 MI NOR. OF JCT KY 221,3.86,007B00070N,,28,29,33,44,36,37,39
Bell,KY-2011,KY-2011,1.1 MI SOU. OF JCT KY 66,7.906,007B00073N,,20,21,25,41,26,27,29
Bell,KY-2077,KY-2077,.05 MI N.W. OF JCT KY 92,0.783,007B00077N,,31,32,37,44,40,40,43
Bell,KY-74,EAST CUMBERLAND AV,.15 MI WEST OF JCT US 25E,16.666,007B00084N,,24,27,29,43,31,32,34
Bell,KY-186,WINCHESTER AVENUE,.50 MI WEST OF JCT KY2079,2.414,007B00087N,,32,33,37,44,41,41,43
Bell,KY-441,BELT LINE ROAD,.05 MI E OF JCT KY 2396,0.877,007B00088N,,23,24,28,44,29,30,33
Bell,KY-441,BELT LINE ROAD,.45 MI N.E. OF JCT KY 74,0.423,007B00089N,,25,26,30,44,32,33,35
Bell,KY-74,WEST CUMBERLAND AV,.02 MI W OF JCT KY 1599,14.232,007B00095N,,37,38,43,44,,,
Bell,KY-74,WEST CUMBERLAND AV,.10 MI EAST OF JCT KY 441,13.096,007B00096N,,35,36,41,44,,,
Bell,KY-2396,KY-2396,.30 MI NOR. OF JCT KY 74,0.26,007B00097N,,34,35,39,44,43,44,44
Bell,KY-987,KY-987,2.5 MI N.W. OF JCT KY 217,10.942,007B00100N,,34,35,41,44,,,
Bell,KY-74,KY-74,1.8 MI WEST OF JCT KY 441,11.575,007B00112N,,26,35,35,44,41,44,44
Bell,KY-66,KY-66,.3 MI N OF JCT US 25E,0.063,007B00114N,,,,,56,,,
Bell,KY-3484,KY-3484,1.1 MI S+E OF JCT KY 190,1.085,007B00117N,,30,31,35,44,38,38,41
Bell,KY-3484,KY-3484,2.8 MI S+E OF JCT KY 190,2.876,007B00118N,,38,40,44,44,,,
Bell,US-25,US-25E,0.1 MI S JCT KY 74,1.663,007B00126N,,20,27,34,40,40,40,40
Bell,KY-2014,KY-2014,1.6 MI.E  JCT US 25E,0.226,007B00129N,,38,44,44,44,,,
Bell,US-119,US-119,.02 MI E. JCT US 25E,0.077,007B00144N,,23,35,44,44,,,
