County,Route,Facility,Location,MP,Bridge ID#,Gross (tons),KY Type 1 (tons),KY Type 2 (tons),KY Type 3 (tons),KY Type 4 (tons),SU5 (tons),SU6 (tons),SU7 (tons)
Daviess,AU-9005,AUDUBON PKY NC,WBL .6 MI W-E.TERM.PKWY,22.701,030B00059L,,36,38,41,44,,,
Daviess,AU-9005,AU-9005,EBL .6 MI W-E.TERM.PKWY,22.698,030B00059R,,36,38,41,44,,,
Daviess,KY-56,KY-56,.10 MI NOR. OF MCLEAN CL,0.096,030B00065N,,32,34,39,44,41,42,44
Daviess,US-60,WENDELL FORD EXPY,WBL .55 WEST OF US 231,15.844,030B00078L,,33,35,41,44,43,44,44
Daviess,US-60,OWENSBORO BYP,EBL .55 WEST OF US 231,15.842,030B00078R,,34,36,42,44,,,
Daviess,KY-258,KY-258,.90 MI WEST OF JCT KY 56,4.461,030B00079N,,37,38,41,44,43,44,44
Daviess,US-60,US-60,.80 MI EAST OF JCT KY 155,5.276,030B00096N,,38,40,44,44,,,
Daviess,KY-764,KY-764,3.2 MI NOR. OF JCT KY 54,7.571,030B00107N,22,,,,,,,
Daviess,KY-764,KY-764,3.0 MI NOR. OF JCT KY 54,7.234,030B00108N,,33,35,41,44,43,44,44
Daviess,KY-1389,KY-1389,2.0 MI N.E. OF JCT KY 183,3.995,030B00113N,,26,27,30,44,33,34,36
Daviess,KY-1389,KY-1389,.85 MI EAST OF JCT KY 657,8.441,030B00114N,22,,,,,,,
Daviess,KY-2262,KY-2262,OHIO RIVER BRIDGE,1.137,030B00118N,,26,27,29,38,31,33,34
Daviess,KY-142,KY-142,.98 MI SOU. OF JCT KY 54,5.009,030B00127N,,42,44,44,44,,,
Daviess,KY-142,KY-142,.64 MI SOU. OF JCT KY 54,5.354,030B00130N,,42,44,44,44,,,
Daviess,KY-142,KY-142,.55 MI SOU. OF JCT KY 54,5.44,030B00131N,,42,44,44,44,,,
Daviess,KY-662,KY-662,AT HANCOCK-DAV. CO. LINE,4.324,030B00138N,,27,28,30,38,31,32,32
Daviess,KY-1831,KY-1831,.1 MI N JCT KY 405,1.102,030B00149N,,36,40,44,44,,,
Daviess,KY-140,KY-140,1.8 MI.W  JCT   US 431,1.778,030B00151N,,32,33,38,44,41,42,44
Daviess,US-231,US-231,2.6 MI N JCT US60,14.417,030B00164N,,28,44,44,44,,,
Daviess,KY-662,_KY 662,500' W jct S Chestnut Gr,2.34,030B00178N,,31,31,42,44,,,
Daviess,CR-1023,SOUTH HAMPTON RD,0.8 MI E JCT KY 142,1.127,030C00004N,18,,,,,,,
Daviess,CR-1029,CR-1029,.25 MI N OF JCT CR 5021,3.131,030C00007N,21,,,,,,,
Daviess,CR-1053,CR-1053,0.2 MI E JCT KY 405,0.997,030C00016N,15,,,,,,,
Daviess,CR-1068,ROCKPORT FERRY RD,0.4 MI NW JCT US 60,0.074,030C00021N,15,,,,,,,
Daviess,CR-1129,OLD KY 54,3.1 MI E JCT KY 142,1.216,030C00034N,15,,,,,,,
Daviess,CR-1169,McMAHAN RD,.5 MI E OF JCT CR 5168,0.605,030C00051N,33,,,,,,,
Daviess,CR-1257,LYDANNE BRIDGE S,0.7 MI S JCT KY 279,0.706,030C00069N,9,,,,,,,
Daviess,CR-1146,CR-1146,1 MI SE OF JCT KY 764,1.453,030C00105N,19,,,,,,,
Daviess,CR-1021,JACK HINTON RD,.8 MI W OF JCT CR 5138,1.788,030C00108N,37,,,,,,,
Daviess,CR-1029,MONARCH RD,.65 MI N OF JCT CR 5026,1.556,030C00110N,18,,,,,,,
Daviess,CR-1044,LANHAM RD,.2 MI N OF JCT CR 5045,1.457,030C00111N,18,,,,,,,
Daviess,CR-1340,LEE RUDY RD,.1 MI. EAST-JCT  KY 279,0.051,030C00114N,19,,,,,,,
Daviess,CR-1168,RED HILL-MAXWELL R,1.0 MI. S.W.JCT. US 231,0.888,030C00116N,33,,,,,,,
Daviess,CR-1225,EAST MARKSBERRY RD,1.5 MI. E. JCT. US 431,1.503,030C00117N,30,,,,,,,
Daviess,CR-1222,WEST MARKSBERRY RD,0.8 MI. W. JCT. US  431,0.821,030C00118N,23,,,,,,,
Daviess,CR-1298,ALVEY BRIDGE RD,0.3 MI. W. JCT. KY. 279,0.3,030C00120N,25,,,,,,,
Daviess,CR-1129,OLD KY 54,0.4 MI. EAST  JCT KY. 142,3.986,030C00122N,18,,,,,,,
Daviess,CR-1062,NORTH CHESTNUT GRO,0.2 MI. EAST JCT KY 334,2.516,030C00125N,18,,,,,,,
Daviess,CR-1026,ROBY RD,.4 MI W OF JCT CR 5029,1.956,030C00127N,26,,,,,,,
Daviess,CR-1045,FREE SILVER RD,100' W OF JCT CR 5044,3.046,030C00129N,27,,,,,,,
Daviess,CR-1045,FREE SILVER RD,2.4 MI SE OF JCT KY 1389,2.969,030C00139N,25,,,,,,,
Daviess,CR-1301,KELLER RD,@ JCT KY 2698,1.302,030C00148N,35,,,,,,,
Daviess,CR-1144,CR-1144,.5 MI S. JCT KY 54,0.49,030C00149N,39,,,,,,,
Daviess,CR-1244,CR-1244,.1 MI W. KY 1514,0.415,030C00159N,39,,,,,,,
Daviess,CR-1038,INDIAN HILL RD,1.0  MI-NEJCT  KY 951,0.944,030C00172N,6,,,,,,,
Daviess,CR-1159,OLD HARTFORD RD,.5   MI E. JCT  US 231,0.643,030C00175N,9,,,,,,,
Daviess,CR-1301,KELLER RD,0.2 MI E JCT KY 81,0.273,030C00178N,37,,,,,,,
Daviess,CR-1270,CR1270 Jewell Road,0.7 MI S JCT KY 56,0.755,030C00186N,3,,,,,,,
Daviess,CR-1020,"King Road, CR1020",0.1 MI W JCT CR1027,2.189,030C00187N,22,,,,,,,
